equipoCasa,equipoVisita,golesCasa,golesVisita,targetasCasa,tarjetasVisita
Estados Unidos,Italia,0,2,0,0
Fiyi,Guatemala,3,0,3,0
Italia,Ecuador,3,2,1,4
Nueva Zelanda,Italia,3,2,2,1
Estados Unidos,Fiyi,2,2,2,4
Ecuador,Estados Unidos,3,0,2,0
Fiyi,Estados Unidos,2,0,2,3
Argentina,Ecuador,0,1,2,0
Estados Unidos,Eslovaquia,5,0,1,2
Fiyi,Eslovaquia,1,2,3,5
Estados Unidos,Nueva Zelanda,9,0,0,3
Fiyi,Nueva Zelanda,0,0,1,0
Ecuador,Italia,1,2,0,1
Italia,Argentina,2,0,0,2
Eslovaquia,Fiyi,1,1,2,3
Nueva Zelanda,Argentina,2,3,1,0
Guatemala,Argentina,0,2,3,0
Eslovaquia,Guatemala,1,2,3,1
Argentina,Italia,0,1,3,2
Eslovaquia,Estados Unidos,3,0,2,3
Estados Unidos,Argentina,1,2,2,3
Ecuador,Fiyi,3,0,1,3
Guatemala,Estados Unidos,1,2,1,1
Argentina,Eslovaquia,2,1,0,2
Ecuador,Nueva Zelanda,4,0,0,3
Fiyi,Italia,0,0,1,0
Eslovaquia,Argentina,2,3,1,3
Nueva Zelanda,Ecuador,1,1,3,2
Italia,Fiyi,1,0,1,1
Italia,Eslovaquia,1,0,2,1
Guatemala,Eslovaquia,2,0,0,0
Ecuador,Guatemala,1,0,0,0
Eslovaquia,Nueva Zelanda,0,2,0,1
Nueva Zelanda,Guatemala,3,1,2,0
Nueva Zelanda,Estados Unidos,3,1,2,0
Guatemala,Italia,1,1,0,0
Ecuador,Eslovaquia,2,1,1,0
Fiyi,Ecuador,1,3,1,4
Eslovaquia,Ecuador,2,1,2,2
Argentina,Guatemala,3,2,2,2
Italia,Estados Unidos,2,1,3,2
Guatemala,Nueva Zelanda,4,1,4,5
Italia,Guatemala,2,3,1,0
Fiyi,Argentina,0,3,2,2
Eslovaquia,Italia,0,6,3,0
Estados Unidos,Ecuador,1,1,1,3
Guatemala,Ecuador,5,1,0,2
Estados Unidos,Guatemala,2,0,4,1
Italia,Nueva Zelanda,3,2,1,4
Argentina,Nueva Zelanda,0,4,1,1
Nueva Zelanda,Fiyi,0,4,1,1
Nueva Zelanda,Eslovaquia,0,1,2,5
Ecuador,Argentina,3,2,3,2
Argentina,Estados Unidos,1,0,1,1
Guatemala,Fiyi,0,1,3,2
Argentina,Fiyi,2,1,2,1
Guatemala,Italia,3,3,1,3
Argentina,Ecuador,3,1,1,0
Italia,Ecuador,2,3,1,3
Ecuador,Guatemala,0,1,2,3
Italia,Argentina,0,6,2,0
Ecuador,Italia,0,1,3,4
Guatemala,Argentina,2,2,3,2
Italia,Guatemala,2,0,0,1
Argentina,Guatemala,1,8,2,1
Ecuador,Argentina,0,4,2,1
Argentina,Italia,1,1,0,2
Guatemala,Ecuador,3,0,2,0
Argentina,Italia,4,2,0,3
Italia,Argentina,0,5,4,1
